year,on_campus,total_cases
2010,off campus,1524
2010,on campus,187
2011,off campus,1452
2011,on campus,238
2012,off campus,1449
2012,on campus,303
2013,off campus,1422
2013,on campus,294
2014,off campus,1287
2014,on campus,189
2015,off campus,1584
2015,on campus,336
2016,off campus,1655
2016,on campus,384
2017,off campus,1656
2017,on campus,386
2018,off campus,1741
2018,on campus,335
2019,off campus,1751
2019,on campus,383
2020,off campus,1220
2020,on campus,87
2021,off campus,812
2021,on campus,37
